,일시,최저기온,최고기온,날씨
0,2020-07-23 00:00,22,26,흐리고 비
1,2020-07-23 12:00,22,26,흐리고 비
2,2020-07-24 00:00,22,28,흐리고 비
3,2020-07-24 12:00,22,28,흐리고 비
4,2020-07-25 00:00,22,28,흐림
5,2020-07-25 12:00,22,28,흐림
6,2020-07-26 00:00,22,30,흐림
7,2020-07-26 12:00,22,30,흐림
8,2020-07-27 00:00,22,29,흐림
9,2020-07-27 12:00,22,29,흐리고 비
10,2020-07-28 00:00,23,28,흐리고 비
11,2020-07-29 00:00,24,28,흐리고 비
12,2020-07-30 00:00,24,29,흐리고 비
13,2020-07-23 00:00,22,26,흐리고 비
14,2020-07-23 12:00,22,26,흐리고 비
15,2020-07-24 00:00,22,27,흐리고 비
16,2020-07-24 12:00,22,27,흐리고 비
17,2020-07-25 00:00,21,27,흐림
18,2020-07-25 12:00,21,27,흐림
19,2020-07-26 00:00,22,27,흐림
20,2020-07-26 12:00,22,27,흐림
21,2020-07-27 00:00,22,27,흐림
22,2020-07-27 12:00,22,27,흐리고 비
23,2020-07-28 00:00,23,27,흐리고 비
24,2020-07-29 00:00,23,27,흐리고 비
25,2020-07-30 00:00,23,27,흐리고 비
26,2020-07-23 00:00,22,26,흐리고 비
27,2020-07-23 12:00,22,26,흐리고 비
28,2020-07-24 00:00,22,28,흐리고 비
29,2020-07-24 12:00,22,28,흐리고 비
30,2020-07-25 00:00,22,29,흐림
31,2020-07-25 12:00,22,29,흐림
32,2020-07-26 00:00,22,30,흐림
33,2020-07-26 12:00,22,30,흐림
34,2020-07-27 00:00,22,29,흐림
35,2020-07-27 12:00,22,29,흐리고 비
36,2020-07-28 00:00,23,29,흐리고 비
37,2020-07-29 00:00,24,29,흐리고 비
38,2020-07-30 00:00,23,30,흐리고 비
39,2020-07-23 00:00,21,26,흐리고 비
40,2020-07-23 12:00,21,26,흐리고 비
41,2020-07-24 00:00,21,28,흐리고 비
42,2020-07-24 12:00,21,28,흐리고 비
43,2020-07-25 00:00,20,29,흐림
44,2020-07-25 12:00,20,29,흐림
45,2020-07-26 00:00,20,28,흐림
46,2020-07-26 12:00,20,28,흐림
47,2020-07-27 00:00,21,28,흐림
48,2020-07-27 12:00,21,28,흐리고 비
49,2020-07-28 00:00,22,29,흐리고 비
50,2020-07-29 00:00,23,28,흐리고 비
51,2020-07-30 00:00,23,29,흐리고 비
52,2020-07-23 00:00,21,26,흐리고 비
53,2020-07-23 12:00,21,26,흐리고 비
54,2020-07-24 00:00,21,28,흐리고 비
55,2020-07-24 12:00,21,28,흐리고 비
56,2020-07-25 00:00,20,28,흐림
57,2020-07-25 12:00,20,28,흐림
58,2020-07-26 00:00,20,29,흐림
59,2020-07-26 12:00,20,29,흐림
60,2020-07-27 00:00,21,28,흐림
61,2020-07-27 12:00,21,28,흐리고 비
62,2020-07-28 00:00,22,28,흐리고 비
63,2020-07-29 00:00,22,29,흐리고 비
64,2020-07-30 00:00,22,30,흐리고 비
65,2020-07-23 00:00,21,27,흐리고 비
66,2020-07-23 12:00,21,27,흐리고 비
67,2020-07-24 00:00,22,29,흐리고 비
68,2020-07-24 12:00,22,29,흐리고 비
69,2020-07-25 00:00,21,30,흐림
70,2020-07-25 12:00,21,30,흐림
71,2020-07-26 00:00,22,29,흐림
72,2020-07-26 12:00,22,29,흐림
73,2020-07-27 00:00,22,29,흐림
74,2020-07-27 12:00,22,29,흐리고 비
75,2020-07-28 00:00,23,29,흐리고 비
76,2020-07-29 00:00,24,29,흐리고 비
77,2020-07-30 00:00,24,30,흐리고 비
78,2020-07-23 00:00,22,27,흐리고 비
79,2020-07-23 12:00,22,27,흐리고 비
80,2020-07-24 00:00,21,29,흐리고 비
81,2020-07-24 12:00,21,29,흐리고 비
82,2020-07-25 00:00,22,28,흐림
83,2020-07-25 12:00,22,28,흐림
84,2020-07-26 00:00,21,28,흐림
85,2020-07-26 12:00,21,28,흐림
86,2020-07-27 00:00,22,29,흐림
87,2020-07-27 12:00,22,29,흐리고 비
88,2020-07-28 00:00,21,29,흐리고 비
89,2020-07-29 00:00,22,29,흐리고 비
90,2020-07-30 00:00,23,30,흐리고 비
91,2020-07-23 00:00,21,27,흐리고 비
92,2020-07-23 12:00,21,27,흐리고 비
93,2020-07-24 00:00,21,28,흐리고 비
94,2020-07-24 12:00,21,28,흐리고 비
95,2020-07-25 00:00,22,29,흐림
96,2020-07-25 12:00,22,29,흐림
97,2020-07-26 00:00,21,29,흐림
98,2020-07-26 12:00,21,29,흐림
99,2020-07-27 00:00,22,29,흐림
100,2020-07-27 12:00,22,29,흐리고 비
101,2020-07-28 00:00,22,29,흐리고 비
102,2020-07-29 00:00,23,29,흐리고 비
103,2020-07-30 00:00,24,30,흐리고 비
104,2020-07-23 00:00,21,27,흐리고 비
105,2020-07-23 12:00,21,27,흐리고 비
106,2020-07-24 00:00,21,26,흐리고 비
107,2020-07-24 12:00,21,26,흐리고 비
108,2020-07-25 00:00,20,25,흐리고 비
109,2020-07-25 12:00,20,25,흐리고 비
110,2020-07-26 00:00,21,27,흐림
111,2020-07-26 12:00,21,27,흐림
112,2020-07-27 00:00,21,27,흐림
113,2020-07-27 12:00,21,27,흐리고 비
114,2020-07-28 00:00,22,27,흐리고 비
115,2020-07-29 00:00,22,28,흐리고 비
116,2020-07-30 00:00,23,29,흐림
117,2020-07-23 00:00,22,26,흐리고 비
118,2020-07-23 12:00,22,26,흐리고 비
119,2020-07-24 00:00,22,27,흐리고 비
120,2020-07-24 12:00,22,27,구름많고 비
121,2020-07-25 00:00,22,27,구름많음
122,2020-07-25 12:00,22,27,구름많음
123,2020-07-26 00:00,22,28,흐림
124,2020-07-26 12:00,22,28,흐림
125,2020-07-27 00:00,22,29,흐림
126,2020-07-27 12:00,22,29,흐리고 비
127,2020-07-28 00:00,23,29,흐리고 비
128,2020-07-29 00:00,23,29,흐리고 비
129,2020-07-30 00:00,24,30,흐리고 비
130,2020-07-23 00:00,22,26,흐리고 비
131,2020-07-23 12:00,22,26,흐리고 비
132,2020-07-24 00:00,22,27,흐리고 비
133,2020-07-24 12:00,22,27,구름많고 비
134,2020-07-25 00:00,21,27,구름많음
135,2020-07-25 12:00,21,27,구름많음
136,2020-07-26 00:00,21,28,흐림
137,2020-07-26 12:00,21,28,흐림
138,2020-07-27 00:00,21,29,흐림
139,2020-07-27 12:00,21,29,흐리고 비
140,2020-07-28 00:00,22,29,흐리고 비
141,2020-07-29 00:00,22,29,흐리고 비
142,2020-07-30 00:00,23,30,흐리고 비
143,2020-07-23 00:00,22,25,흐리고 비
144,2020-07-23 12:00,22,25,흐리고 비
145,2020-07-24 00:00,22,26,흐리고 비
146,2020-07-24 12:00,22,26,구름많고 비
147,2020-07-25 00:00,20,27,구름많음
148,2020-07-25 12:00,20,27,구름많음
149,2020-07-26 00:00,20,28,흐림
150,2020-07-26 12:00,20,28,흐림
151,2020-07-27 00:00,21,29,흐림
152,2020-07-27 12:00,21,29,흐리고 비
153,2020-07-28 00:00,22,28,흐리고 비
154,2020-07-29 00:00,22,28,흐리고 비
155,2020-07-30 00:00,23,30,흐리고 비
156,2020-07-23 00:00,22,26,흐리고 비
157,2020-07-23 12:00,22,26,흐리고 비
158,2020-07-24 00:00,22,28,흐리고 비
159,2020-07-24 12:00,22,28,흐리고 비
160,2020-07-25 00:00,22,28,흐림
161,2020-07-25 12:00,22,28,흐림
162,2020-07-26 00:00,22,29,흐림
163,2020-07-26 12:00,22,29,흐림
164,2020-07-27 00:00,22,30,흐림
165,2020-07-27 12:00,22,30,흐리고 비
166,2020-07-28 00:00,23,29,흐리고 비
167,2020-07-29 00:00,24,30,흐리고 비
168,2020-07-30 00:00,24,31,흐리고 비
169,2020-07-23 00:00,21,27,흐리고 비
170,2020-07-23 12:00,21,27,흐리고 비
171,2020-07-24 00:00,21,28,흐리고 비
172,2020-07-24 12:00,21,28,흐리고 비
173,2020-07-25 00:00,21,27,흐림
174,2020-07-25 12:00,21,27,흐림
175,2020-07-26 00:00,21,28,흐림
176,2020-07-26 12:00,21,28,흐림
177,2020-07-27 00:00,21,29,흐림
178,2020-07-27 12:00,21,29,흐리고 비
179,2020-07-28 00:00,22,29,흐리고 비
180,2020-07-29 00:00,22,30,흐리고 비
181,2020-07-30 00:00,23,31,흐리고 비
182,2020-07-23 00:00,21,27,흐리고 비
183,2020-07-23 12:00,21,27,흐리고 비
184,2020-07-24 00:00,21,28,흐리고 비
185,2020-07-24 12:00,21,28,흐리고 비
186,2020-07-25 00:00,20,28,흐림
187,2020-07-25 12:00,20,28,흐림
188,2020-07-26 00:00,20,29,흐림
189,2020-07-26 12:00,20,29,흐림
190,2020-07-27 00:00,20,30,흐림
191,2020-07-27 12:00,20,30,흐리고 비
192,2020-07-28 00:00,22,30,흐리고 비
193,2020-07-29 00:00,22,31,흐리고 비
194,2020-07-30 00:00,23,32,흐리고 비
195,2020-07-23 00:00,22,27,흐리고 비
196,2020-07-23 12:00,22,27,흐리고 비
197,2020-07-24 00:00,22,27,흐리고 비
198,2020-07-24 12:00,22,27,흐리고 비
199,2020-07-25 00:00,22,28,흐림
200,2020-07-25 12:00,22,28,구름많음
201,2020-07-26 00:00,22,29,구름많음
